Time Sample,Lake,F-value 1,F-value 2,Chlorophyll.1..ug.L,Chlorophyll.2..ug.L,Sample Volume 
1,Convict,11,10.8,0.26,0.26,420
1,Eastern Brook,11.9,12,0.4,0.4,300
1,Serene,39.4,39.9,1.31,1.33,300
1,Cooney,19,19.1,0.45,0.45,420
1,Blue,20.3,20.4,0.34,0.34,600
1,Virginia,28.1,29.4,0.67,0.7,420
2,Convict,16.6,16.5,0.28,0.27,420
2,Eastern Brook,55.5,54.1,0.93,0.9,600
2,Serene,66.8,66.8,1.39,1.39,480
2,Cooney,18,19.9,0.3,0.33,600
2,Blue,25.2,26.5,0.42,0.44,600
2,Virginia,34.7,37.3,0.58,0.62,600
3,Convict,12.2,12.7,0.2,0.21,600
3,Eastern Brook,50.4,51.1,1.05,1.07,480
3,Serene,60.2,60.5,1.12,1.12,540
3,Blue,13.4,13.3,0.22,0.22,600
3,Cooney,18.2,17,0.43,0.4,600
3,Virginia,20.8,20.9,0.35,0.35,600
4,Convict,48.6,48.6,0.81,0.81,600
4,Eastern Brook,79.6,81.6,1.59,1.63,500
4,Serene,77.7,79.9,1.55,1.6,500
4,Blue,1.2,1.2,0.02,0.02,600
4,Cooney,52.3,52.8,0.87,0.88,600
4,Virginia,27.3,25.8,0.34,0.32,800
5,Convict,15.4,15.4,0.39,0.39,400
5,Eastern Brook,69.2,70.9,1.38,1.42,500
5,Serene,70.5,71.8,1.98,2.02,356
5,Blue,32.8,33.2,0.55,0.55,600
5,Cooney,0.2,0.3,0,0.01,600
5,Virginia,49.6,50.7,0.83,0.84,600
