sequence_ID,sample_ID,sequencing_ID,sample_type,organism_water,number,time_point,date,lake,elevation_m,temp_C,chla_ug.L,pH,DO_perc,spc,cond,DOC,TDN,TDP
109_16S,57_Z22,MP_20_16S,Zooplankton,Daphnia,30,1,2022-06-29,Blue,3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.60
128_16S,56_Z22,MP_41_16S,Zooplankton,Cyclopoid,50,1,2022-06-29,Blue,3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.60
140_16S,55_Z22,MP_55_16S,Zooplankton,Cyclopoid,50,1,2022-06-29,Blue,3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.60
196_16S,59_Z22,MP_116_16S,Zooplankton,Daphnia,30,1,2022-06-29,Blue,3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.60
232_16S,60_Z22,MP_156_16S,Zooplankton,Daphnia,30,1,2022-06-29,Blue,3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.60
153_16S,18_Z,MP_69_16S,Zooplankton,Cyclopoid,50,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
198_16S,22_Z,MP_118_16S,Zooplankton,Daphnia,30,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
215_16S,21_Z,MP_137_16S,Zooplankton,Daphnia,30,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
223_16S,23_Z,MP_146_16S,Zooplankton,Cyclopoid,50,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
228_16S,19_Z,MP_151_16S,Zooplankton,Daphnia,30,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
238_16S,20_Z,MP_162_16S,Zooplankton,Daphnia,30,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
250_16S,24_Z,MP_176_16S,Zooplankton,Cyclopoid,50,2,2022-07-09,Blue,3005,14.8,0.42,7.04,82.1,98.7,79.4,0.9,264.74,149.54
02_16S,65_Z,MP_02_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Blue,3005,17.0,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19
115_16S,64_Z,MP_27_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Blue,3005,17.0,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19
14_16S,63_Z,MP_54_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Blue,3005,17.0,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19
158_16S,62_Z,MP_74_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Blue,3005,17.0,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19
