"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"1","01_16S","1_Z22","MP_01_16S","Zooplankton","Calanoid",50,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"copepoda","Below",4986
"2","02_16S","65_Z","MP_02_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"copepoda","Above",498
"3","03_16S","95_Z","MP_03_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",3908
"4","04_16S","45_Z22","MP_04_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",15060
"5","05_16S","78_Z","MP_05_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"copepoda","Below",149
"6","06_16S","39_Z","MP_06_16S","Zooplankton","Calanoid",50,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"copepoda","Above",2595
"7","07_16S","31_Z22","MP_07_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",7200
"8","08_16S","28_Z","MP_08_16S","Zooplankton","Calanoid",40,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"copepoda","Below",3520
"9","09_16S","51_Z22","MP_09_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"copepoda","Above",7685
"10","10_16S","4_Z","MP_10_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"copepoda","Above",912
"11","101_16S","74_Z","MP_12_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"copepoda","Above",3034
"12","102_16S","16_Z22","MP_13_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",2972
"13","103_16S","94_Z","MP_14_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",1403
"14","104_16S","22_Z22","MP_15_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",9008
"15","106_16S","56_Z","MP_17_16S","Zooplankton","Calanoid",27,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",19380
"16","107_16S","5_Z22","MP_18_16S","Zooplankton","Calanoid",50,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"copepoda","Below",2825
"17","109_16S","57_Z22","MP_20_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Blue",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"cladocera","Above",5570
"18","11_16S","57_Z","MP_21_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",14998
"19","110_16S","46_Z22","MP_22_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",116
"20","111_16S","37_Z22","MP_23_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",1130
"21","112_16S","55_Z","MP_24_16S","Zooplankton","Calanoid",50,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",8551
"22","113_16S","16_Z","MP_25_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"copepoda","Above",137829
"23","114_16S","44_Z","MP_26_16S","Zooplankton","Calanoid",50,"2","2022-07-09","Cooney",3116,14.3,0.3,6.94,77.5,109.6,87.1,1,74.73,9.29,"copepoda","Above",27886
"24","115_16S","64_Z","MP_27_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"copepoda","Above",6931
"25","116_16S","26_Z22","MP_28_16S","Zooplankton","Cyclopoid",48,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"copepoda","Above",5333
"26","118_16S","79_Z","MP_30_16S","Zooplankton","Calanoid",50,"3","2022-07-22","Convict",2315,18.2,0.2,8.34,76.7,164.8,143.5,0.8,103.23,204.95,"copepoda","Below",545
"27","119_16S","29_Z","MP_31_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"copepoda","Above",2224
"28","12_16S","92_Z","MP_32_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Cooney",3116,16.7,0.43,8.61,76.8,112.9,95,1,84.23,369.04,"copepoda","Above",875
"29","120_16S","14_Z22","MP_33_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",17444
"30","121_16S","28_Z22","MP_34_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",14526
"31","122_16S","42_Z22","MP_35_16S","Zooplankton","Daphnia",100,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"cladocera","Above",2195
"32","123_16S","70_Z","MP_36_16S","Zooplankton","Calanoid",50,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"copepoda","Above",1201
"33","124_16S","7_Z","MP_37_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Serene",3124,16.8,1.39,8.65,70,17.8,15,3,697.03,4102.48,"copepoda","Above",1274
"34","125_16S","12_Z22","MP_38_16S","Zooplankton","Daphnia",30,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"cladocera","Above",7594
"35","126_16S","32_Z22","MP_39_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",26876
"36","127_16S","51_Z","MP_40_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",235
"37","128_16S","56_Z22","MP_41_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Blue",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"copepoda","Above",9697
"38","13_16S","30_Z","MP_43_16S","Zooplankton","Cyclopoid",50,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"copepoda","Above",1527
"39","130_16S","38_Z","MP_44_16S","Zooplankton","Calanoid",50,"2","2022-07-09","Virginia",2983,16.1,0.58,7.32,80.5,91.6,76.1,1.1,872.79,NA,"copepoda","Above",16865
