time,lake,tow.depth.ft,volume (cubic ft),volume (L),split,perc.count,daphnia.dens,cal.dens,cyc.dens,nau.dens,asp.dens,holo.dens,poly.dens,bos.dens,cerio.dens,ker.dens,kell.dens,chy.dens,daphnia.rich,cal.rich,cyc.rich,nau.rich,asp.rich,holo.rich,poly.rich,bos.rich,cerio.rich,ker.rich,kell.rich,chy.rich,richness,temp..C,DO..perc,DO..mg.L,spc,cond,pH,DOC,Chlorophyll 1 (ug/L)
1,Blue,49.2,38.64158964,1094.206165,4,0.0625,0.014622473,0,0.014622473,0.014622473,0.014622473,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,4,12.8,73.8,7.92,97.5,74.7,7.97,0.8,0.34
1,Convict,60,47.1238898,1334.397763,4,0.0625,0.011990428,0.011990428,0.011990428,0.011990428,0.011990428,0,0,0.011990428,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,6,13.8,81.6,8.45,166,130.3,5.87,0.6,0.26
1,Cooney,42.7,33.53650158,949.6464079,4,0.0625,0.016848376,0.016848376,0.016848376,0.016848376,0.016848376,0,0,0.016848376,0,0.016848376,0.016848376,0,1,1,1,1,1,0,0,1,0,1,1,0,8,12.6,80.5,8.36,106.9,81.7,7.96,0.7,0.45
1,Eastern Brook,15,11.78097245,333.5994407,2,0.25,0.011990428,0.011990428,0.011990428,0.011990428,0,0.011990428,0,0.011990428,0,0.011990428,0.011990428,0,1,1,1,1,0,1,0,1,0,1,1,0,8,13.1,67.3,7.05,20,15.5,6.9,3.1,0.40
1,Serene,21,16.49336143,467.039217,4,0.0625,0.034258365,0.034258365,0.034258365,0.034258365,0.034258365,0,0,0.034258365,0.034258365,0.034258365,0,0.034258365,1,1,1,1,1,0,0,1,1,1,0,1,9,14.4,69.5,7.06,17.6,14,6.96,2.7,1.31
1,Virginia,45,35.34291735,1000.798322,5,0.03125,0.031974474,0.031974474,0.031974474,0.031974474,0.031974474,0,0,0.031974474,0,0.031974474,0.031974474,0,1,1,1,1,1,0,0,1,0,1,1,0,8,14.5,76,7.68,90.3,72.2,7.88,0.8,0.67
2,Blue,42.7,33.53650158,949.6464079,NA,1,0.001053024,0.001053024,0.001053024,0.001053024,0.001053024,0,0,0.001053024,0,0.001053024,0,0,1,1,1,1,1,0,0,1,0,1,0,0,7,14.8,82.1,8.24,98.7,79.4,7.04,0.9,0.42
2,Convict,32.8,25.76105976,729.470777,1,0.5,0.002741714,0.002741714,0.002741714,0.002741714,0,0,0,0.002741714,0,0.002741714,0.002741714,0,1,1,1,1,0,0,0,1,0,1,1,0,7,15.3,84.5,8.4,163.2,137.2,7.14,1.1,0.28
2,Cooney,42.7,33.53650158,949.6464079,3,0.125,0.008424188,0.008424188,0.008424188,0.008424188,0.008424188,0,0,0.008424188,0,0.008424188,0.008424188,0,1,1,1,1,1,0,0,1,0,1,1,0,8,14.3,77.5,7.9,109.6,87.1,6.94,1.0,0.30
2,Eastern Brook,27.3,21.44136986,607.1509821,2,0.25,0.006588147,0.006588147,0.006588147,0.006588147,0.006588147,0.006588147,0.006588147,0.006588147,0,0.006588147,0.006588147,0.006588147,1,1,1,1,1,1,1,1,0,1,1,1,11,16.0,73.8,7.27,20.6,17,8.6,3.4,0.93
2,Serene,23.9,18.77101611,531.5351088,NA,1,0.001881343,0.001881343,0.001881343,0.001881343,0.001881343,0,0,0.001881343,0.001881343,0.001881343,0,#REF!,1,1,1,1,1,0,0,1,1,1,0,1,9,16.8,70.0,6.6,17.8,15,8.65,3.0,1.39
2,Virginia,45.9,36.0497757,1020.814289,3,0.125,0.007836881,0.007836881,0.007836881,0.007836881,0.007836881,0,0,0.007836881,0,0.007836881,0.007836881,0,1,1,1,1,1,0,0,1,0,1,1,0,8,16.1,80.5,7.79,91.6,76.1,7.32,1.1,0.58
3,Blue,42.7,33.53650158,949.6464079,2,0.25,0.004212094,0.004212094,0.004212094,0.004212094,0.004212094,0,0,0.004212094,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,6,17.0,81.3,7.81,100.2,84.9,8.48,0.9,0.22
